State/Province,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
MS,1.0666666666666667,2.4939759036144578,1.7272727272727273,2.906779661016949,2.263157894736842,3.35,3.0795454545454546,3.8214285714285716,1.875,4.0256410256410255,1.7037037037037037,1.8333333333333333,7.8125,5.7727272727272725,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0
MT,,3.25,1.4285714285714286,1.0,1.0476190476190477,1.25,1.75,,2.2857142857142856,1.0,1.5,1.0,,,,,,,,,,,,,,,,
Miquelon-Langlade,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NAY,,,,,,1.0,2.0,4.5,,,3.0,,,,,,,,,,,,,,,,,
NB,1.411764705882353,1.3076923076923077,1.9692307692307693,1.2307692307692308,1.1875,3.5714285714285716,5.65,4.588235294117647,1.0,1.0,3.5,,2.0,1.0,1.0,,,,,,,,,,,,,
NC,1.5384615384615385,1.9317180616740088,1.419664268585132,2.7884972170686457,2.008771929824561,3.491358024691358,3.390295358649789,3.3612565445026177,2.653206650831354,3.3582089552238807,3.1315789473684212,2.3076923076923075,3.462962962962963,3.875,1.0,,,1.0,1.0,,,,1.0,,,,1.0,1.0
ND,3.488888888888889,1.1428571428571428,1.3181818181818181,1.3636363636363635,2.2333333333333334,13.285714285714286,1.7647058823529411,2.6153846153846154,3.533333333333333,1.75,12.88888888888889,2.875,1.0,18.0,1.0,,,,,,,,,,1.0,,,1.0
NE,3.5303030303030303,2.7964601769911503,2.138157894736842,2.9393939393939394,2.6153846153846154,6.493670886075949,5.626373626373627,4.7631578947368425,3.9157894736842107,4.340909090909091,3.265625,3.757575757575758,2.888888888888889,19.444444444444443,1.0,,,,,,,,,,,,1.0,1.0
NH,1.6024096385542168,1.7183098591549295,2.214689265536723,3.1635220125786163,2.7403846153846154,9.427631578947368,2.5521472392638036,1.8651685393258426,1.5841584158415842,1.1333333333333333,1.7532467532467533,1.1153846153846154,5.170212765957447,1.6964285714285714,1.0,1.0,,,,,,,,,,1.0,1.0,1.0
NJ,4.803921568627451,2.0836363636363635,1.626865671641791,2.5905172413793105,4.072254335260116,3.3830334190231364,5.358839050131926,3.480295566502463,2.364705882352941,2.7278688524590162,2.689655172413793,1.5376344086021505,5.298387096774194,3.802197802197802,1.0,1.0,,,,,,1.0,2.0,,,1.0,1.0,1.0
NL,,,,1.0,,,1.0,1.1666666666666667,3.0,8.066666666666666,22.22222222222222,3.962962962962963,7.323529411764706,3.2413793103448274,1.0,,,,,,,,,,,,,
NLE,,70.0,2.5,2.857142857142857,1.0,9.2,6.583333333333333,9.941176470588236,9.047619047619047,32.0,,,,1.0,,,,,,,,,,,,,1.0,1.0
NM,1.0909090909090908,1.1724137931034482,1.632183908045977,1.9350649350649352,1.6585365853658536,2.618556701030928,2.0067567567567566,2.75,3.6127659574468085,2.0,2.064516129032258,1.6785714285714286,1.2,1.7222222222222223,1.0,1.0,,,,,,,,,,,1.0,4.0
NS,1.391304347826087,1.0714285714285714,2.097560975609756,2.238095238095238,1.9772727272727273,2.1645569620253164,1.710144927536232,1.9285714285714286,3.125,1.1,1.3846153846153846,1.75,2.6875,1.0,1.0,1.0,,,,,,,,,,,,1.0
NV,1.6,1.6,1.2571428571428571,2.0,1.0,1.8,1.875,1.4,5.0476190476190474,3.3157894736842106,1.7333333333333334,1.75,2.0,6.25,1.0,,,,,,,,,,,,,
NY,1.627659574468085,1.7955112219451372,2.217678100263852,3.2706552706552707,2.5587703435804703,4.915929203539823,3.5625,4.0111940298507465,1.9321266968325792,2.3693931398416885,3.0697674418604652,1.7004830917874396,5.623655913978495,2.5966666666666667,1.0,1.0,2.8,,,,,,,2023.0,1.0,1.0,1.0,1.0
North Abaco,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
North Eleuthera,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,
OH,2.723529411764706,2.30751708428246,2.5405405405405403,4.743346007604563,2.6713995943204867,3.5310834813499112,3.361280487804878,2.2931392931392933,1.8409542743538767,4.602368866328257,2.1793478260869565,1.5466666666666666,3.6373626373626373,2.816326530612245,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0
OK,2.354330708661417,2638188.845208845,2.627425614489004,12.87411883182276,2.636978579481398,3.4176954732510287,3.39136690647482,6.6,3.3191964285714284,4.764227642276423,4.064935064935065,4.583333333333333,2.58,4.32183908045977,1.037037037037037,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0
ON,3.094252873563218,3.2623188405797103,4.063666300768387,6.8083109919571045,12.333333333333334,15.408350305498981,5.689887640449438,3.7325581395348837,3.3522853957636567,3.0348468848996832,3.890845070422535,3.003787878787879,9.255474452554745,6.978494623655914,1.0,,,,,,,,,1.0,,1.0,1.0,1.0
OR,2.25,2.8529411764705883,1.6986301369863013,2.3333333333333335,1.4705882352941178,1.1111111111111112,1.2222222222222223,1.4285714285714286,1.4242424242424243,2.473684210526316,1.0,1.0,1.0,3.5,1.0,1.0,,,,,,,,,,,,1.0
PA,1.7894736842105263,1.4834782608695651,1.5328947368421053,8.836385836385837,2.1625,4.360738255033557,2.992272024729521,2.6831530139103554,2.030252100840336,3.146987951807229,2.3954154727793697,1.8790849673202614,6.602941176470588,3.201117318435754,1.0100502512562815,1.0,,2.0,,,,,,,,1.0,1.0,1.0
PE,,1.0,1.0,1.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
PR,2.727272727272727,1.7012987012987013,1.3707865168539326,,,,1000.0,,,2.0,3.0,,,,,,,,,,,,,,,,,
PUE,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
QC,1.2173913043478262,3.25,1.9224806201550388,1.822695035460993,1.7362637362637363,1.8670520231213872,1.9202898550724639,2.103448275862069,1.391304347826087,1.1333333333333333,1.2203389830508475,1.1,2.142857142857143,1.0,1.0,,,,,,,,,,,,,1.0
QUE,1.0,,,13.333333333333334,4.333333333333333,51.0,15.0,,26.0,1.6666666666666667,6.5,6.0,,1.0,1.0,,,,,,,,,,,,,
RI,1.6,1.5238095238095237,3.5090909090909093,10.225806451612904,1.7096774193548387,4.627906976744186,5.129032258064516,3.9318181818181817,2.5294117647058822,3.6666666666666665,2.1333333333333333,1.375,3.8666666666666667,3.5,1.0,1.0,,,,,,,,,,1.0,1.0,1.0
ROO,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
SC,7.9375,3.0609137055837565,1.95,2.9388489208633093,3.117283950617284,3.140740740740741,2.6857142857142855,4.987577639751553,1.8012048192771084,2.4850299401197606,2.588235294117647,4.1454545454545455,4.215686274509804,3.1785714285714284,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0
SD,1.1111111111111112,1.7692307692307692,1.48,1.75,1.6875,3.272727272727273,9.413793103448276,7.346153846153846,3.4545454545454546,6.32,6.333333333333333,6.2272727272727275,5.166666666666667,1.3076923076923077,1.0,,,,,,,,,,1.0,1.0,,
SIN,,,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,
SK,1.25,1.5588235294117647,,1.75,1.1111111111111112,3.0,2.3,1.6666666666666667,1.0,,,1.0,2.0,,,,,,,,,,,,,,,1.0
SLP,,40.0,,,,,,14.5,1.5,1.5,3.75,15.0,10.5,1.8,1.0,,,,,,,,,,,,,
SON,,1.0,,1000.0,,,2.0,8.0,6.0,1.0,3.6666666666666665,1.0,,,,,1.0,,,,,,,,,,,
SacatepÃ©quez,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Saint George Basseterre Parish,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Saint George Gingerland Parish,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint John,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Saint-Pierre,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
San JosÃ©,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
SaÃ¯da Province,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SololÃ¡ Department,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Spanish Wells,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
St Croix,,,1.5,1.3333333333333333,1.1111111111111112,1.0,2.0,1.5,,1.0,,,,,,,,,,,,,,,,,,
St John,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
TAM,,10.0,4.0,2.8,70.0,22.8,4.75,1.2,5.1,2.4375,4.7272727272727275,9.6,20.0,1.0,1.0,,,,,,,,,,,,,1.0
TN,1.3818181818181818,1.7793103448275862,1.3605769230769231,2.1172161172161172,2.0316742081447963,2.890625,3.0242914979757085,1.9772727272727273,2.138728323699422,3.556603773584906,2.098901098901099,2.0084745762711864,5.241379310344827,1.7391304347826086,1.0,,,,,,,,,,1.0,,1.0,1.0
TX,4.368600682593857,3.2321711568938194,3.1148002250984805,4.001489868891538,4.086781029263371,5.096356275303644,4.611990950226244,3.6443129520052597,4.6172055427251735,4.0922587486744435,7.875808538163001,4.361464968152866,3.63922942206655,5.47361299052774,1.0079787234042554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.037037037037037,1.0,1.0,1.0,1.0,1.0
UT,1.7741935483870968,2.4854368932038833,2.0575916230366493,2.019230769230769,2.1052631578947367,1.9090909090909092,1.2857142857142858,1.2258064516129032,2.489795918367347,2.230769230769231,1.8235294117647058,1.6923076923076923,1.75,1.125,1.0,,,,,,,,,,1.0,,,
VA,1.4464285714285714,1.7068273092369477,1.7226277372262773,2.381651376146789,1.5190380761523046,3.562176165803109,3.8193202146690517,2.13091922005571,1.972636815920398,2.0905797101449277,2.415807560137457,2.1625,3.180451127819549,2.4227642276422765,1.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0
VER,,,,,,,,,2.5,1.0,,,,,1.0,,,,,,,,,,,,,
VI,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,
VIC,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2.125,1.7142857142857142,2.7,2.6323529411764706,2.7,4.476923076923077,2.922222222222222,1.5968992248062015,1.6962025316455696,1.2647058823529411,2.0533333333333332,1.1666666666666667,5.42,3.657142857142857,1.0,1.0,,,,,,,,,,1.0,1.0,1.0
Vt,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
WA,1.0,1.2666666666666666,8.941176470588236,1.0,1.1428571428571428,1.0,3.4444444444444446,1.0,1.5238095238095237,1.1333333333333333,8.8,13.0,9.4,,,,,,,,,,1.0,,,,1.0,1.0
WI,2.656126482213439,2.455665024630542,2.0642201834862384,6.233532934131737,2.979245283018868,12.080385852090032,3.7336561743341403,2.404517453798768,2.9354120267260577,5.377777777777778,3.403669724770642,2.17687074829932,5.04,3.432,1.0,1.0,,,,,,4.0,,,1.0,1.0,1.0,1.0
WV,2.1176470588235294,1.5735294117647058,1.9047619047619047,3.4242424242424243,2.5211267605633805,2.017543859649123,3.960526315789474,3.0256410256410255,2.507936507936508,2.2790697674418605,2.5789473684210527,7.75,3.5,4.555555555555555,1.0,,,,,,,,,,,,1.0,1.0
WY,2.0,1.6,2.0,1.1666666666666667,1.8,,1.0,1.5555555555555556,1.4444444444444444,5.8,1.0,2.5,1.0,1.0,1.0,,,,,,,,,,,,,
Wisconsin,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
YUC,,,,,,,2.3333333333333335,,,,,,3.0,,,,,,,,,,,,,,,
ZAC,,,,,14.0,,,,,,43.0,,,,,,,,,,,,,,,,,
Zulia,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
